Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
2023-04-01,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13762,0,0,0,0,0,3865,0,0,0,0,0,822,2,2759,0,0,802
2023-04-01,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,8675,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
2023-04-01,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7036,0,0,588,0,0,377,0,0,3,0,0,0,0,0,0
2023-04-01,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2572,0,0,0,0,0,29,0,0,0,0,0,0,0,6,153
2023-04-01,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
2023-04-01,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8237,0,10625,234,0,246,3562,0,52,39,0,0,676,698,2457,0,0,1397
2023-04-01,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3093,0,0,328,0,0,65,0,0,0,0,0,0,0,0,0
2023-04-01,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0
